#ev;kozepho;maxho;maxho_nap;minho;minho_nap
2006;12.0;29.4;2006-06-27;-8.9;2006-01-24
2007;13.3;33.1;2007-07-20;-5.3;2007-12-30
2008;12.9;28.5;2008-06-23;-5.7;2008-12-31
2009;12.5;28.8;2009-08-02;-9.8;2009-12-21
2010;11.4;29.1;2010-07-17;-7.4;2010-12-30
2011;12.3;29.4;2011-07-10;-5.5;2011-02-01
2012;13.0;31.3;2012-08-06;-10.7;2012-02-06
2013;12.5;31.4;2013-07-29;-2.2;2013-12-04
2014;13.4;28.0;2014-06-10;-7.3;2014-12-31
2015;13.3;31.0;2015-07-07;-5.5;2015-01-07
2016;12.7;29.8;2016-06-25;-7.4;2016-01-04
2017;12.8;32.3;2017-08-04;-11.3;2017-01-07
2018;13.9;29.0;2018-08-10;-7.2;2018-02-27
2019;14.0;29.6;2019-06-27;-2.7;2019-01-25
2020;13.2;28.2;2020-08-08;-1.7;2020-01-14
